Host Listings Count,Neighbourhood Group Cleansed,Latitude,Longitude,Property Type,Room Type,Accommodates,Bathrooms,Bedrooms,Beds,Price,Security Deposit,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Availability 30,Availability 60,Availability 90,Availability 365,Number of Reviews,Review Scores Rating,Review Scores Accuracy,Review Scores Cleanliness,Review Scores Checkin,Review Scores Communication,Review Scores Location,Review Scores Value,Cancellation Policy,Calculated host listings count,Reviews per Month,Name_Len,Name_Lang,Summary_Len,Summary_Lang,Space_Len,Space_Lang,Description_Len,Description_Lang,is_Thumbnail,is_HostAbout,is_ResponseInHours,Num_Host_Verifications,is_EntireHome,is_Bed,is_UpdatedToday
1.0,Centro,40.41697151446158,-3.709747129498521,Other,EntireHome,5,1.0,2.0,2.0,116.0,150.0,35.0,1,0,1,6,25,55,145,48,98.0,10.0,10.0,10.0,10.0,10.0,10.0,moderate,1.0,5.22,34,False,499,False,279,False,1000,False,True,True,True,3,True,True,False
2.0,Centro,40.41024362458262,-3.711438437064453,Apartment,EntireHome,7,1.5,3.0,6.0,150.0,250.0,55.0,2,10,4,17,47,77,352,1,20.0,4.0,4.0,10.0,6.0,8.0,2.0,strict,2.0,0.33,35,True,155,False,0,False,155,False,False,False,True,4,True,True,False
2.0,Centro,40.40984821096984,-3.715476050563831,Apartment,PrivateRoom,2,1.0,1.0,1.0,30.0,,,1,5,2,15,41,60,60,17,94.0,10.0,10.0,10.0,10.0,9.0,9.0,strict,2.0,3.31,39,False,70,False,728,False,884,False,True,False,True,6,False,True,False
1.0,Centro,40.41186783680879,-3.711150649501796,Apartment,EntireHome,6,2.0,3.0,4.0,120.0,,50.0,1,0,1,12,34,63,63,0,,,,,,,,flexible,1.0,,41,True,439,True,1000,True,1000,True,True,False,True,2,True,True,False
142.0,Centro,40.41144189780058,-3.715172531125345,Apartment,EntireHome,6,2.0,3.0,4.0,201.0,,103.0,1,0,3,5,14,22,112,14,97.0,10.0,10.0,10.0,10.0,10.0,10.0,strict,77.0,0.76,48,True,248,True,1000,True,1000,True,True,True,True,6,True,True,True
1.0,Centro,40.411285170696864,-3.709998375562103,Apartment,PrivateRoom,2,1.0,1.0,1.0,26.0,,,1,13,2,2,32,62,337,10,94.0,9.0,9.0,10.0,10.0,10.0,9.0,flexible,1.0,0.48,33,True,235,True,0,False,654,True,False,False,False,3,False,True,True
2.0,Centro,40.41498548974255,-3.7126456464335313,Apartment,PrivateRoom,2,2.0,1.0,1.0,25.0,,,1,0,1,0,0,0,0,0,,,,,,,,flexible,1.0,,31,True,242,True,0,False,242,True,True,False,False,2,False,True,False
1.0,Centro,40.41875455075978,-3.708582585996276,Apartment,EntireHome,2,1.0,1.0,1.0,140.0,500.0,,2,0,4,4,15,33,272,0,,,,,,,,strict,1.0,,50,False,486,False,1000,False,1000,False,True,True,True,4,True,True,False
1.0,Centro,40.411934216000326,-3.6999482346664423,House,EntireHome,2,1.0,2.0,1.0,53.0,,20.0,1,0,1,4,5,11,286,6,93.0,9.0,10.0,9.0,10.0,10.0,9.0,flexible,1.0,0.48,33,False,242,False,510,False,1000,False,False,False,False,3,True,True,False
35.0,Centro,40.40726685575625,-3.700791104335509,Apartment,EntireHome,4,1.0,2.0,3.0,83.0,150.0,,2,20,3,10,37,67,342,1,80.0,8.0,10.0,10.0,10.0,10.0,8.0,strict,3.0,0.73,19,False,222,False,890,False,999,False,True,True,True,5,True,True,True
1.0,Centro,40.4058911938078,-3.704339861402785,Apartment,EntireHome,5,1.0,3.0,4.0,70.0,,15.0,2,10,3,0,0,1,29,8,98.0,10.0,10.0,10.0,10.0,10.0,10.0,flexible,1.0,0.82,33,False,197,True,142,True,1000,True,True,True,False,4,True,True,False
1.0,Centro,40.40755256850714,-3.6998941473333273,Apartment,PrivateRoom,2,1.0,1.0,1.0,23.0,95.0,5.0,1,7,2,9,39,69,70,3,87.0,10.0,10.0,10.0,10.0,10.0,9.0,flexible,1.0,3.0,49,False,448,False,0,False,448,False,True,True,True,7,False,True,False
3.0,Centro,40.40708747315848,-3.697640053272696,Apartment,PrivateRoom,2,2.0,1.0,1.0,19.0,,20.0,2,15,1,0,5,13,263,8,85.0,9.0,7.0,10.0,9.0,10.0,9.0,moderate,3.0,0.9,23,False,395,True,725,True,1000,True,False,True,False,3,False,True,False
207.0,Centro,40.41233946939376,-3.703593436204012,Apartment,EntireHome,4,2.0,0.0,3.0,133.0,250.0,37.0,2,12,2,8,21,34,301,5,100.0,10.0,10.0,10.0,10.0,10.0,10.0,strict,67.0,1.13,18,True,211,True,228,True,1000,True,True,True,True,4,True,True,False
3.0,Centro,40.4088220930883,-3.709241862752766,Apartment,EntireHome,6,1.0,3.0,6.0,86.0,,15.0,1,0,2,6,21,34,295,10,82.0,9.0,7.0,9.0,9.0,9.0,8.0,strict,2.0,2.94,23,False,253,True,27,True,281,True,True,False,True,4,True,True,False
